module	trait	nObs	bicor	Z	t	p
brown	Percent_CpG_Methylated	14	0.494958227730627	1.87964301535837	1.97324491337079	0.0719485386829555
brown	Percent_Duplicated_Reads	14	-0.285371569719189	-1.01678377319135	1.03144681065056	0.322672496955257
brown	Percent_Deduplicated_reads	14	0.285371569719189	1.01678377319135	1.03144681065056	0.322672496955256
brown	Percent_Duplicate_Reads	14	-0.285371569719189	-1.01678377319135	1.03144681065056	0.322672496955257
brown	Aligned_Uniquely	25	-0.186742087762303	-0.906217437068509	0.911619920732853	0.371425202915598
brown	Aligned_Ambiguously	25	-0.215309688643252	-1.04900440798984	1.05738918874862	0.301314020003762
brown	Aligned_Reads_Total	25	-0.18929011793357	-0.918885173524134	0.924517681008131	0.364815666927633
brown	Mapping_Efficiency	25	-0.0855758002326289	-0.411413379080622	0.411918175129406	0.684213135449777
brown	Percent_Aligned_Total	25	-0.0888750741527701	-0.427357462861524	0.427923268430305	0.672687295476302
brown	Total_Reads	25	-0.246185120645664	-1.2054213200702	1.21815369028976	0.235514625317058
brown	bgw_id	25	-0.248784078647747	-1.21869871651141	1.23185738957405	0.230448616604343
brown	mom_gw_age	24	0.0625984172469413	0.293997020065536	0.294189568577726	0.771370867511509
brown	age_c_months	25	-0.109021330666733	-0.524934295929308	0.52598310373464	0.603935184263447
brown	gestage	25	0.423993543074277	2.17035760123133	2.24520228181508	0.034665343968171
brown	bmi_mom	24	-0.144301623907123	-0.681592092532271	0.683993457833476	0.50112122056089
brown	hei_base_mom	22	0.0188394226977835	0.0842624294771153	0.0842674152029489	0.933681614139746
brown	brf_nb	23	-0.322676599786969	-1.53347609130798	1.56225615430472	0.133172506158541
brown	ex_brf_mth3	22	0.269980126580738	1.23807679128295	1.25395222513764	0.224318696552753
brown	ex_brf_mth6	21	0.00502429325704897	0.0219005708539492	0.0219006629968759	0.982755563429591
brown	gwg	21	-0.229980455295663	-1.02071826782908	1.03007239911345	0.315911177887537
brown	ppwr	21	0.116501691471848	0.510135475587727	0.511300806167699	0.615031055973966
brown	soc_env_tot	25	-0.126398431751772	-0.609445141098126	0.611086771669751	0.547134676686374
brown	airpollut	25	-0.147809799035644	-0.714102048373552	0.716743746467146	0.480747841975537
brown	toxic	25	-0.0996668099584153	-0.479577413866571	0.480377090152354	0.635496763076995
brown	emissions	25	-0.00939766992885882	-0.0450709685539847	0.0450716320120901	0.964439256849923
brown	spl_ebm	25	-0.271673930605921	-1.33645562167867	1.35382045770622	0.188948431655647
brown	env_tot	25	-0.248989207308429	-1.21974744184366	1.23294018772851	0.230051872454369
brown	poverty	25	0.0232045533603595	0.111305108819374	0.111315101405631	0.912332200222225
brown	soc_tot	25	0.0424265891797508	0.203592989349458	0.203654146677768	0.840414903798154
brown	wt_0wk	24	0.275039322268133	1.3241392711769	1.34179792168874	0.193347744711956
brown	wt_6mo	19	0.545249179761655	2.52167250983025	2.68184377401891	0.01576074793686
brown	wt_12mo	20	0.630383716570887	3.14826272105173	3.44525027805757	0.00288699141618574
brown	bmi_24mo	20	0.612309835417813	3.02334104067325	3.28579787712601	0.00410806037342566
brown	zwfl_pct_0wk	19	-0.201032970856585	-0.840325199062782	0.84615486852784	0.4092195025763
brown	zwfl_pct_6mo	18	0.399477237733906	1.69210699585821	1.74302803810666	0.100510630571499
brown	zwfl_pct_9mo	14	0.745768671800365	3.33715206621344	3.8778131368751	0.00219656329158988
brown	zwfl_pct_12mo	20	0.695662907391535	3.64377730603349	4.10854356411616	0.000659564820231092
brown	zbmi_24mo_pct	20	0.518241670119724	2.43499054339322	2.57089010653823	0.0192397807091937
brown	wzd_0to6mo	19	0.373602757536702	1.61874688413255	1.6606535497481	0.115113375092893
brown	wzd_6to12mo	18	0.0528742475230559	0.211694414421736	0.211793251019081	0.834942675490891
brown	wflzd_0to6mo	18	0.553295918000511	2.4924759691963	2.65693173704387	0.017223844470996
brown	wflzd_6to12mo	17	0.247205578193078	0.977673863129904	0.988090394583918	0.338780026898817
brown	rwg_wei_0to6mo	19	0.267297652597738	1.12953001190504	1.14371152862555	0.268593432350881
brown	rwg_wei_6to12mo	18	0.149917453817205	0.604223963132478	0.606524441075035	0.552675921900148
brown	rwg_wfl_0to6mo	18	0.650810846469569	3.10681621143094	3.42874939650118	0.00344468929114781
brown	rwg_wfl_6to12mo	17	0.0980045265814854	0.380792193096153	0.381405999632793	0.708250322522679
brown	EH_90Days_base	20	-0.135467136282954	-0.57829335088104	0.580085706870916	0.569047889696023
brown	EH_90Days_wk26	19	-0.446317418238005	-1.97947070195593	2.05639272121944	0.055430406161853
brown	EH_90Days_wk36	17	-0.0982765481894335	-0.381855974136681	0.382474940921019	0.707474012298263
pink	SequencingNumber	25	-0.236263146047651	-1.15489670350063	1.16609132731367	0.255527475875593
pink	Percent_CpG_Methylated	14	0.614736991382122	2.48203076176113	2.69991702322408	0.0193123332138221
pink	Percent_Duplicated_Reads	14	-0.153311100454509	-0.535305841744369	0.537438847223578	0.60078897287591
pink	Percent_Deduplicated_reads	14	0.15331110045451	0.535305841744371	0.53743884722358	0.600788972875909
pink	Percent_Duplicate_Reads	14	-0.153311100454509	-0.535305841744369	0.537438847223578	0.60078897287591
pink	Aligned_Uniquely	25	-0.0560765041415608	-0.269215893095342	0.26935730677557	0.790056471295428
pink	Aligned_Ambiguously	25	-0.106881273676157	-0.514549924904203	0.515537689450354	0.611097538887328
pink	Aligned_Reads_Total	25	-0.0601483309698478	-0.288809885948674	0.288984482567217	0.775181966309227
pink	Mapping_Efficiency	25	0.0583544246790597	0.280176301112697	0.28033570144327	0.781726008313801
pink	Percent_Aligned_Total	25	0.0534331917565967	0.256500883956444	0.256623190481663	0.799751268609655
pink	Total_Reads	25	-0.191149680178605	-0.92813812916338	0.933942725486253	0.360035584039416
pink	bgw_id	25	-0.217314064596284	-1.05908892427578	1.06771825511469	0.29672689918161
pink	mom_gw_age	24	0.0315476082637411	0.148020517909636	0.148045088379013	0.883655708374174
pink	age_c_months	25	-0.0131431198065778	-0.0630358180862612	0.0630376331289577	0.950281179708974
pink	gestage	25	0.402394045938079	2.04543291353158	2.10801150353119	0.0461326856109768
pink	bmi_mom	24	-0.135579679984092	-0.639865107992708	0.641851639529448	0.527601335078674
pink	hei_base_mom	22	0.0419915643424417	0.187902478961532	0.187957769983522	0.852803673559157
pink	brf_nb	23	-0.303944135880347	-1.43828486897748	1.46201515689942	0.158541590568657
pink	ex_brf_mth3	22	0.338416210258757	1.57554606244086	1.60834100245724	0.123432911011733
pink	ex_brf_mth6	21	-0.0212501214086435	-0.0926410780094241	0.0926480525524441	0.927153102411762
pink	gwg	21	-0.148790051802324	-0.653411446054965	0.655861317513147	0.519777227676296
pink	ppwr	21	0.0938930829848701	0.410479559610895	0.411086522756222	0.685608660683963
pink	soc_env_tot	25	-0.115253143296042	-0.555201728020473	0.556442706813507	0.583282225232823
pink	airpollut	25	-0.186010936682128	-0.902584774578337	0.907922472915792	0.373334507048669
pink	toxic	25	0.0256328333564563	0.122957684422959	0.122971155496739	0.903198188851575
pink	emissions	25	0.0442794940930772	0.212495944690727	0.212565481616028	0.833538552602182
pink	spl_ebm	25	-0.219078702059284	-1.06797488877885	1.07682361599878	0.292724710088425
pink	env_tot	25	-0.200995300733833	-0.977244388445055	0.984021303846256	0.335343947770362
pink	poverty	25	-0.0107509729546715	-0.0515618416281865	0.0515628349928008	0.959322245347205
pink	soc_tot	25	0.0198731739694933	0.0953209442943482	0.095327220461478	0.924880612036988
pink	wt_0wk	24	0.24679290989268	1.18196050134528	1.19450963573818	0.244998645662827
pink	wt_6mo	19	0.459092140003883	2.04572163187545	2.13069512863814	0.0480129230549712
pink	wt_12mo	20	0.513416947297931	2.40709963641908	2.53833341464327	0.0205957432800403
pink	bmi_24mo	20	0.61455840310777	3.03863670921047	3.30516574670037	0.00393616308301877
pink	zwfl_pct_0wk	19	-0.189209809941159	-0.789646932920362	0.794483031282495	0.437865503234496
pink	zwfl_pct_6mo	18	0.367177912139211	1.54062931063705	1.57900391938337	0.133899304258314
pink	zwfl_pct_9mo	14	0.706295009706097	3.04754999280251	3.45616157660102	0.00475067157768705
pink	zwfl_pct_12mo	20	0.586172321489711	2.85026837243298	3.06956340908991	0.00660435578482208
pink	zbmi_24mo_pct	20	0.494488512142868	2.2994444965988	2.41368534684974	0.02666650934532
pink	wzd_0to6mo	19	0.276890663125969	1.17224592220877	1.18810256039644	0.251127331490775
pink	wzd_6to12mo	18	0.101410902497562	0.407042823478576	0.407745691738399	0.68886427314593
pink	wflzd_0to6mo	18	0.535624651166421	2.39199869890724	2.53713415300843	0.0219669522860212
pink	wflzd_6to12mo	17	0.227785375153462	0.89796047362251	0.906027182120423	0.37924540822086
pink	rwg_wei_0to6mo	19	0.298544370969269	1.26958989094368	1.28974795627999	0.214408884492339
pink	rwg_wei_6to12mo	18	0.0992605362939027	0.398353881369868	0.399012677876096	0.695158897410225
pink	rwg_wfl_0to6mo	18	0.626332831473661	2.94143497018639	3.21379361404351	0.0054183140631986
pink	rwg_wfl_6to12mo	17	0.116806867530427	0.454465512527693	0.455509173101328	0.655267268030014
pink	EH_90Days_base	20	-0.130375324273784	-0.556302027266899	0.557897471040368	0.583787307363078
pink	EH_90Days_wk26	19	-0.365901799533537	-1.58196618660731	1.62106715742068	0.123402255458327
pink	EH_90Days_wk36	17	-0.169417817462916	-0.662540479403499	0.665776640858247	0.515662429261348
black	SequencingNumber	25	-0.250101562547961	-1.22543637742031	1.23881498408571	0.227908333320988
black	Percent_CpG_Methylated	14	0.367172552026819	1.33420265948493	1.36743443391553	0.196555638656855
black	Percent_Duplicated_Reads	14	-0.358329947752598	-1.2989290042849	1.32958224208877	0.208378016175847
black	Percent_Deduplicated_reads	14	0.358329947752599	1.2989290042849	1.32958224208877	0.208378016175847
black	Percent_Duplicate_Reads	14	-0.358329947752598	-1.2989290042849	1.32958224208877	0.208378016175847
black	Aligned_Uniquely	25	-0.115222842690979	-0.555054455676989	0.556294446748233	0.583381897283918
black	Aligned_Ambiguously	25	-0.146973765285393	-0.710003533581231	0.712599974031538	0.483260605633215
black	Aligned_Reads_Total	25	-0.117901070199728	-0.56807570751027	0.56940507250651	0.574600795768908
black	Mapping_Efficiency	25	-0.0179825549627375	-0.0862506017798441	0.0862552513664195	0.932010021061095
black	Percent_Aligned_Total	25	-0.021309331530552	-0.102211436751123	0.10221917476058	0.919468680489423
